imdb_id,titleType,primaryTitle,runtimeMinutes,id,budget,original_language,popularity,revenue,release_month,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Thriller,War,Western,weighted_rating,actor_present,directors_present,Variance
tt0037008,movie,Laura,88.0,1939,1020000,en,1.272229,2000000,10,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.4895587851333465,1,0,980000
tt0037465,movie,Wilson,154.0,84084,2995000,en,0.099309,2000000,8,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.309751204266859,1,0,-995000
tt0037884,movie,The Lost Weekend,101.0,28580,1250000,en,1.197892,11000000,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.3329713435874115,0,0,9750000
tt0037913,movie,Mildred Pierce,111.0,3309,1453000,en,0.215993,5638000,9,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.250347595947439,0,0,4185000
tt0038057,movie,Scarlet Street,102.0,17058,1202007,en,0.412624,2948386,12,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.973845305178669,0,0,1746379
tt0038109,movie,Spellbound,111.0,4174,1500000,en,2.785346,7000000,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,7.147886970582673,0,0,5500000
tt0038213,movie,The Valley of Decision,119.0,43610,2160000,en,0.16854,9132000,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.40563391417523,0,0,6972000
tt0038499,movie,Duel in the Sun,146.0,32275,6000000,en,2.487231,20400000,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,6.452704592566825,0,0,14400000
tt0038650,movie,It's a Wonderful Life,130.0,1585,3180000,en,2.719245,9644124,12,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.50083185474079,0,0,6464124
tt0038787,movie,Notorious,102.0,303,2000000,en,3.061216,24464742,8,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.716813471693769,0,0,22464742
tt0039416,movie,Gentleman's Agreement,118.0,33667,2000000,en,0.776725,7800000,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.747328621918695,0,0,5800000
tt0040064,movie,3 Godfathers,106.0,29244,1243000,en,1.394004,2841000,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.5572548276772125,2,0,1598000
tt0040369,movie,Fort Apache,128.0,37347,2500000,en,1.077076,3000000,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.8660096090168,2,0,500000
tt0040522,movie,Bicycle Thieves,89.0,5156,133000,it,1.624739,361712,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.078388982659437,0,0,228712
tt0040597,movie,Miranda,80.0,111960,784170,en,0.392105,834332,4,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.331596769880256,0,0,50162
tt0040694,movie,The Pirate,102.0,35032,3700000,en,0.270261,2956000,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.419579377636047,0,0,-744000
tt0040724,movie,Red River,133.0,3089,3000000,en,0.671744,9012000,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.209441704186874,1,0,6012000
tt0040746,movie,Rope,80.0,1580,1500000,en,2.549368,2200000,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7.788361900738613,0,0,700000
tt0040897,movie,The Treasure of the Sierra Madre,126.0,3090,3800000,en,1.331053,4307000,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7.934644303380702,0,0,507000
tt0041838,movie,Samson and Delilah,134.0,29993,3000000,en,0.582796,11500000,12,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.442971584479149,0,0,8500000
tt0041841,movie,Sands of Iwo Jima,100.0,18712,1000000,en,0.473397,7800000,12,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6.575110550268395,1,0,6800000
tt0041866,movie,She Wore a Yellow Ribbon,104.0,13909,1600000,en,0.933614,5400000,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6.764851580749754,2,0,3800000
tt0042192,movie,All About Eve,138.0,705,1400000,en,0.934622,63463,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.946001093565835,0,0,-1336537
